OPPORTUNITY_ID,A10_CODE
100165,NA
100167,NA
100169,NA
100171,NA
100173,NA
100175,NA
100177,NA
100179,NA
100181,NA
100183,NA
100185,NA
100187,NA
100189,NA
100191,NA
100193,NA
100195,NA
100197,NA
100199,NA
100201,NA
100203,NA
100205,NA
100207,NA
100209,NA
100211,NA
100213,NA
100215,NA
100217,NA
100219,NA
100223,NA
100225,NA
100227,NA
100229,NA
100231,NA
100233,NA
100235,NA
100237,NA
100239,NA
100241,NA
100243,NA
100245,22
100247,NA
100249,NA
100251,NA
100253,NA
100255,NA
100257,NA
100259,NA
100261,NA
100263,NA
100265,NA
100267,NA
100269,NA
100271,NA
100273,NA
100275,NA
100277,NA
100279,NA
100281,NA
100283,NA
100285,NA
100287,NA
100289,NA
100291,NA
100293,NA
100295,NA
100297,NA
100299,NA
100301,NA
100303,NA
100305,NA
100307,NA
100309,NA
100311,NA
100313,NA
100315,NA
100317,NA
100319,NA
100321,NA
100323,NA
100325,NA
100327,NA
100329,NA
100331,NA
100333,NA
100335,NA
100337,NA
100339,NA
100341,NA
100343,NA
100345,NA
100347,NA
100349,NA
100351,NA
100363,NA
100365,NA
100367,NA
100369,NA
100371,NA
100373,NA
100375,NA
100377,NA
100379,NA
100381,NA
100383,NA
325245,45
325249,10
325251,NA
325253,45
325259,10
325261,45
325261,46
325269,10
421487,NA
421489,21
421489,25
421489,35
421491,21
421491,25
421491,35
421497,NA
421499,NA
421501,21
421501,22
421501,45
421501,46
421501,70
421503,21
421503,22
421503,45
421503,46
421503,70
421507,21
421507,22
421507,45
421507,46
421507,70
424081,99
424087,NA
424089,99
424091,NA
424093,99
424095,NA
424097,99
424103,NA
424105,NA
424365,NA
424385,45
424385,70
424413,45
424413,70
434775,22
434775,70
438901,21
438901,22
438905,22
438907,22
438909,22
438911,22
438913,22
438919,22
438925,22
438931,NA
438935,NA
438939,22
438941,22
438945,22
438947,22
438949,22
438963,22
441563,25
441563,35
441567,25
441567,35
441599,99
441603,25
441603,35
441657,25
441657,35
441767,25
441767,35
447295,21
447295,22
447297,25
447301,NA
447307,22
447309,NA
447311,45
447313,NA
447317,45
447319,45
447321,21
447323,21
447325,NA
447327,NA
447329,22
447331,21
447333,22
447335,21
447335,25
447337,21
447339,21
447341,NA
447343,45
447345,45
447347,21
447349,22
447371,25
447371,45
512741,46
516085,99
516211,99
516241,99
516333,99
516453,99
516943,NA
516999,35
517001,35
517005,21
517005,45
517005,46
517007,21
517007,45
517007,46
517009,21
517009,45
517009,46
546443,NA
